date,country,count
2022-05-14,Austria,1
2022-05-16,Austria,1
2022-05-20,Austria,1
2022-05-29,Austria,1
2022-06-04,Austria,1
2022-06-09,Austria,2
2022-06-10,Austria,3
2022-06-11,Austria,2
2022-06-13,Austria,1
2022-06-14,Austria,4
2022-06-16,Austria,2
2022-06-17,Austria,1
2022-06-19,Austria,1
2022-06-20,Austria,2
2022-06-21,Austria,2
2022-06-22,Austria,7
2022-06-23,Austria,2
2022-06-24,Austria,1
2022-06-25,Austria,1
2022-06-26,Austria,1
2022-06-27,Austria,3
2022-06-29,Austria,2
2022-06-30,Austria,4
2022-07-01,Austria,5
2022-07-04,Austria,2
2022-07-05,Austria,2
2022-07-06,Austria,4
2022-07-08,Austria,3
2022-07-11,Austria,1
2022-05-10,Belgium,1
2022-05-11,Belgium,1
2022-05-15,Belgium,1
2022-05-16,Belgium,1
2022-05-17,Belgium,1
2022-05-18,Belgium,3
2022-05-19,Belgium,1
2022-05-20,Belgium,2
2022-05-21,Belgium,2
2022-05-22,Belgium,1
2022-05-23,Belgium,1
2022-05-24,Belgium,5
2022-05-25,Belgium,4
2022-05-26,Belgium,1
2022-05-27,Belgium,2
2022-05-29,Belgium,3
2022-05-30,Belgium,6
2022-05-31,Belgium,3
2022-06-01,Belgium,2
2022-06-02,Belgium,2
2022-06-03,Belgium,1
2022-06-04,Belgium,4
2022-06-05,Belgium,3
2022-06-06,Belgium,1
2022-06-07,Belgium,6
2022-06-08,Belgium,5
2022-06-09,Belgium,4
2022-06-10,Belgium,5
2022-06-11,Belgium,6
2022-06-12,Belgium,3
2022-06-13,Belgium,11
2022-06-14,Belgium,5
2022-06-15,Belgium,12
2022-06-16,Belgium,6
2022-06-17,Belgium,3
2022-06-18,Belgium,10
2022-06-19,Belgium,8
2022-06-20,Belgium,5
2022-06-21,Belgium,7
2022-06-22,Belgium,9
2022-06-23,Belgium,4
2022-06-24,Belgium,4
2022-06-25,Belgium,5
2022-06-26,Belgium,5
2022-06-27,Belgium,13
2022-06-28,Belgium,5
2022-06-29,Belgium,7
2022-06-30,Belgium,2
2022-07-01,Belgium,5
2022-07-02,Belgium,4
2022-07-03,Belgium,2
2022-07-04,Belgium,6
2022-07-05,Belgium,1
2022-07-06,Belgium,4
2022-07-07,Belgium,1
2022-06-10,Bulgaria,1
2022-06-18,Bulgaria,1
2022-06-21,Bulgaria,1
2022-06-19,Croatia,1
2022-04-22,Czechia,1
2022-05-09,Czechia,1
2022-05-10,Czechia,1
2022-05-18,Czechia,1
2022-05-22,Czechia,1
2022-05-25,Czechia,1
2022-06-11,Czechia,1
2022-06-19,Czechia,1
2022-06-21,Czechia,1
2022-07-04,Czechia,1
2022-05-16,Denmark,1
2022-05-19,Denmark,1
2022-05-29,Denmark,1
2022-05-30,Denmark,1
2022-06-02,Denmark,1
2022-06-09,Denmark,1
2022-06-10,Denmark,1
2022-06-11,Denmark,3
2022-06-12,Denmark,1
2022-06-13,Denmark,1
2022-06-14,Denmark,1
2022-06-16,Denmark,2
2022-06-20,Denmark,1
2022-06-22,Denmark,2
2022-06-24,Denmark,1
2022-06-25,Denmark,2
2022-06-26,Denmark,1
2022-06-27,Denmark,1
2022-07-01,Denmark,1
2022-06-16,Estonia,1
2022-06-25,Estonia,1
2022-05-15,Finland,1
2022-05-19,Finland,1
2022-06-01,Finland,1
2022-06-13,Finland,2
2022-06-21,Finland,1
2022-06-25,Finland,3
2022-06-26,Finland,1
2022-06-30,Finland,1
2022-07-02,Finland,1
2022-07-03,Finland,1
2022-05-07,France,1
2022-05-08,France,1
2022-05-09,France,2
2022-05-11,France,1
2022-05-12,France,1
2022-05-13,France,1
2022-05-14,France,1
2022-05-16,France,4
2022-05-17,France,3
2022-05-18,France,6
2022-05-19,France,2
2022-05-20,France,4
2022-05-21,France,3
2022-05-22,France,11
2022-05-23,France,6
2022-05-24,France,6
2022-05-25,France,6
2022-05-26,France,6
2022-05-27,France,5
2022-05-28,France,5
2022-05-29,France,14
2022-05-30,France,8
2022-05-31,France,10
2022-06-01,France,16
2022-06-02,France,11
2022-06-03,France,15
2022-06-04,France,11
2022-06-05,France,17
2022-06-06,France,14
2022-06-07,France,14
2022-06-08,France,14
2022-06-09,France,18
2022-06-10,France,12
2022-06-11,France,16
2022-06-12,France,20
2022-06-13,France,20
2022-06-14,France,10
2022-06-15,France,7
2022-06-16,France,6
2022-06-17,France,4
2022-06-18,France,5
2022-06-19,France,6
2022-06-20,France,4
2022-06-21,France,1
2022-06-23,France,2
2022-05-29,Georgia,1
2022-05-02,Germany,1
2022-05-04,Germany,1
2022-05-09,Germany,1
2022-05-11,Germany,2
2022-05-13,Germany,4
2022-05-14,Germany,4
2022-05-15,Germany,3
2022-05-16,Germany,3
2022-05-17,Germany,4
2022-05-18,Germany,8
2022-05-19,Germany,7
2022-05-20,Germany,5
2022-05-21,Germany,6
2022-05-22,Germany,4
2022-05-23,Germany,5
2022-05-24,Germany,7
2022-05-25,Germany,21
2022-05-26,Germany,11
2022-05-27,Germany,9
2022-05-28,Germany,10
2022-05-29,Germany,12
2022-05-30,Germany,20
2022-05-31,Germany,12
2022-06-01,Germany,24
2022-06-02,Germany,29
2022-06-03,Germany,20
2022-06-04,Germany,31
2022-06-05,Germany,20
2022-06-06,Germany,42
2022-06-07,Germany,23
2022-06-08,Germany,45
2022-06-09,Germany,38
2022-06-10,Germany,35
2022-06-11,Germany,36
2022-06-12,Germany,44
2022-06-13,Germany,62
2022-06-14,Germany,47
2022-06-15,Germany,40
2022-06-16,Germany,37
2022-06-17,Germany,46
2022-06-18,Germany,32
2022-06-19,Germany,35
2022-06-20,Germany,66
2022-06-21,Germany,41
2022-06-22,Germany,43
2022-06-23,Germany,41
2022-06-24,Germany,55
2022-06-25,Germany,32
2022-06-26,Germany,31
2022-06-27,Germany,65
2022-06-28,Germany,42
2022-06-29,Germany,53
2022-06-30,Germany,49
2022-07-01,Germany,46
2022-07-02,Germany,23
2022-07-03,Germany,19
2022-07-04,Germany,49
2022-07-05,Germany,29
2022-07-06,Germany,23
2022-07-07,Germany,47
2022-07-08,Germany,17
2022-07-10,Germany,2
2022-07-11,Germany,17
2022-06-02,Greece,1
2022-06-07,Greece,1
2022-06-08,Greece,1
2022-06-17,Greece,1
2022-06-20,Greece,1
2022-06-22,Greece,1
2022-06-23,Greece,1
2022-06-27,Greece,2
2022-06-28,Greece,1
2022-07-01,Greece,1
2022-07-03,Greece,1
2022-05-26,Hungary,1
2022-05-27,Hungary,1
2022-05-29,Hungary,1
2022-06-04,Hungary,1
2022-06-05,Hungary,1
2022-06-07,Hungary,2
2022-06-08,Hungary,1
2022-06-13,Hungary,1
2022-06-14,Hungary,2
2022-06-18,Hungary,1
2022-06-19,Hungary,1
2022-06-20,Hungary,3
2022-06-21,Hungary,1
2022-06-22,Hungary,1
2022-06-23,Hungary,2
2022-06-24,Hungary,1
2022-06-25,Hungary,1
2022-06-26,Hungary,3
2022-06-27,Hungary,1
2022-06-29,Hungary,1
2022-07-03,Hungary,1
2022-06-13,Iceland,2
2022-06-15,Iceland,1
2022-06-28,Iceland,1
2022-07-01,Iceland,1
2022-05-16,Ireland,1
2022-05-20,Ireland,1
2022-05-21,Ireland,1
2022-05-24,Ireland,1
2022-05-25,Ireland,1
2022-05-27,Ireland,3
2022-05-29,Ireland,2
2022-05-30,Ireland,1
2022-06-03,Ireland,1
2022-06-04,Ireland,2
2022-06-06,Ireland,3
2022-06-08,Ireland,3
2022-06-09,Ireland,3
2022-06-10,Ireland,1
2022-06-11,Ireland,2
2022-06-13,Ireland,1
2022-06-14,Ireland,2
2022-06-15,Ireland,3
2022-06-16,Ireland,2
2022-06-17,Ireland,1
2022-06-19,Ireland,2
2022-06-21,Ireland,1
2022-06-22,Ireland,1
2022-06-23,Ireland,1
2022-06-28,Ireland,1
2022-06-29,Ireland,2
2022-06-30,Ireland,1
2022-07-04,Ireland,5
2022-07-05,Ireland,2
2022-07-06,Ireland,3
2022-04-03,Italy,1
2022-05-09,Italy,1
2022-05-13,Italy,1
2022-05-15,Italy,4
2022-05-16,Italy,2
2022-05-17,Italy,1
2022-05-18,Italy,1
2022-05-19,Italy,2
2022-05-20,Italy,3
2022-05-21,Italy,2
2022-05-22,Italy,2
2022-05-23,Italy,1
2022-05-24,Italy,2
2022-05-27,Italy,1
2022-05-28,Italy,1
2022-05-29,Italy,2
2022-05-30,Italy,5
2022-05-31,Italy,1
2022-06-01,Italy,5
2022-06-02,Italy,4
2022-06-03,Italy,7
2022-06-04,Italy,3
2022-06-05,Italy,2
2022-06-06,Italy,3
2022-06-07,Italy,7
2022-06-08,Italy,8
2022-06-09,Italy,2
2022-06-10,Italy,10
2022-06-11,Italy,6
2022-06-12,Italy,12
2022-06-13,Italy,11
2022-06-14,Italy,15
2022-06-15,Italy,8
2022-06-16,Italy,11
2022-06-17,Italy,10
2022-06-18,Italy,7
2022-06-19,Italy,12
2022-06-20,Italy,13
2022-06-21,Italy,13
2022-06-22,Italy,9
2022-06-23,Italy,5
2022-06-24,Italy,9
2022-06-25,Italy,4
2022-06-26,Italy,6
2022-06-27,Italy,11
2022-06-28,Italy,6
2022-06-29,Italy,6
2022-06-30,Italy,4
2022-07-01,Italy,8
2022-07-02,Italy,7
2022-07-03,Italy,5
2022-07-04,Italy,7
2022-07-05,Italy,2
2022-07-06,Italy,1
2022-05-24,Latvia,1
2022-06-02,Latvia,1
2022-06-05,Luxembourg,1
2022-06-19,Luxembourg,1
2022-06-20,Luxembourg,1
2022-06-27,Luxembourg,2
2022-06-30,Luxembourg,1
2022-05-21,Malta,1
2022-06-07,Malta,1
2022-06-12,Malta,1
2022-06-14,Malta,1
2022-06-15,Malta,1
2022-06-21,Malta,1
2022-06-22,Malta,1
2022-06-23,Malta,1
2022-06-28,Malta,1
2022-04-27,Netherlands,1
2022-04-30,Netherlands,1
2022-05-01,Netherlands,1
2022-05-02,Netherlands,1
2022-05-04,Netherlands,1
2022-05-12,Netherlands,1
2022-05-14,Netherlands,1
2022-05-15,Netherlands,2
2022-05-16,Netherlands,6
2022-05-17,Netherlands,3
2022-05-18,Netherlands,4
2022-05-19,Netherlands,1
2022-05-20,Netherlands,5
2022-05-21,Netherlands,4
2022-05-22,Netherlands,1
2022-05-24,Netherlands,2
2022-05-25,Netherlands,3
2022-05-26,Netherlands,2
2022-05-27,Netherlands,3
2022-05-28,Netherlands,8
2022-05-29,Netherlands,7
2022-05-30,Netherlands,2
2022-05-31,Netherlands,6
2022-06-01,Netherlands,5
2022-06-02,Netherlands,5
2022-06-03,Netherlands,7
2022-06-04,Netherlands,3
2022-06-05,Netherlands,7
2022-06-06,Netherlands,10
2022-06-07,Netherlands,9
2022-06-08,Netherlands,15
2022-06-09,Netherlands,17
2022-06-10,Netherlands,5
2022-06-11,Netherlands,5
2022-06-12,Netherlands,13
2022-06-13,Netherlands,12
2022-06-14,Netherlands,13
2022-06-15,Netherlands,14
2022-06-16,Netherlands,12
2022-06-17,Netherlands,14
2022-06-18,Netherlands,10
2022-06-19,Netherlands,10
2022-06-20,Netherlands,21
2022-06-21,Netherlands,16
2022-06-22,Netherlands,19
2022-06-23,Netherlands,11
2022-06-24,Netherlands,10
2022-06-25,Netherlands,13
2022-06-26,Netherlands,7
2022-06-27,Netherlands,20
2022-06-28,Netherlands,8
2022-06-29,Netherlands,11
2022-06-30,Netherlands,6
2022-07-01,Netherlands,3
2022-07-02,Netherlands,2
2022-05-23,Norway,1
2022-05-27,Norway,1
2022-05-29,Norway,1
2022-05-30,Norway,1
2022-06-04,Norway,1
2022-06-10,Norway,1
2022-06-11,Norway,1
2022-06-12,Norway,1
2022-06-13,Norway,1
2022-06-17,Norway,2
2022-06-18,Norway,3
2022-06-19,Norway,1
2022-06-20,Norway,2
2022-06-22,Norway,2
2022-06-24,Norway,1
2022-06-27,Norway,1
2022-06-30,Norway,1
2022-07-01,Norway,2
2022-07-02,Norway,2
2022-07-04,Norway,1
2022-07-05,Norway,1
2022-07-06,Norway,1
2022-07-07,Norway,1
2022-05-18,Poland,1
