Date,Cases,Cumulative_cases,Country
2022-05-27,2,2,Argentina
2022-05-28,0,2,Argentina
2022-05-29,0,2,Argentina
2022-05-30,0,2,Argentina
2022-05-31,0,2,Argentina
2022-06-01,0,2,Argentina
2022-06-02,0,2,Argentina
2022-06-03,0,2,Argentina
2022-06-04,0,2,Argentina
2022-06-05,0,2,Argentina
2022-06-06,0,2,Argentina
2022-06-07,0,2,Argentina
2022-06-08,0,2,Argentina
2022-06-09,1,3,Argentina
2022-06-10,0,3,Argentina
2022-06-11,0,3,Argentina
2022-06-12,0,3,Argentina
2022-06-13,0,3,Argentina
2022-06-14,0,3,Argentina
2022-06-15,0,3,Argentina
2022-06-16,0,3,Argentina
2022-06-17,0,3,Argentina
2022-06-18,0,3,Argentina
2022-06-19,0,3,Argentina
2022-06-20,0,3,Argentina
2022-06-21,1,4,Argentina
2022-06-22,0,4,Argentina
2022-06-23,0,4,Argentina
2022-06-24,0,4,Argentina
2022-06-25,0,4,Argentina
2022-06-26,0,4,Argentina
2022-06-27,0,4,Argentina
2022-06-28,1,5,Argentina
2022-06-29,0,5,Argentina
2022-06-30,1,6,Argentina
2022-07-01,0,6,Argentina
2022-07-02,0,6,Argentina
2022-07-03,0,6,Argentina
2022-07-04,0,6,Argentina
2022-07-05,0,6,Argentina
2022-07-06,0,6,Argentina
2022-07-07,0,6,Argentina
2022-07-08,3,9,Argentina
2022-07-09,0,9,Argentina
2022-07-10,0,9,Argentina
2022-07-11,0,9,Argentina
2022-07-12,0,9,Argentina
2022-05-20,2,2,Australia
2022-05-21,0,2,Australia
2022-05-22,0,2,Australia
2022-05-23,0,2,Australia
2022-05-24,0,2,Australia
2022-05-25,0,2,Australia
2022-05-26,0,2,Australia
2022-05-27,0,2,Australia
2022-05-28,0,2,Australia
2022-05-29,0,2,Australia
2022-05-30,0,2,Australia
2022-05-31,0,2,Australia
2022-06-01,0,2,Australia
2022-06-02,2,4,Australia
2022-06-03,1,5,Australia
2022-06-04,1,6,Australia
2022-06-05,0,6,Australia
2022-06-06,0,6,Australia
2022-06-07,0,6,Australia
2022-06-08,0,6,Australia
2022-06-09,2,8,Australia
2022-06-10,0,8,Australia
2022-06-11,0,8,Australia
2022-06-12,0,8,Australia
2022-06-13,0,8,Australia
2022-06-14,0,8,Australia
2022-06-15,2,10,Australia
2022-06-16,1,11,Australia
2022-06-17,0,11,Australia
2022-06-18,0,11,Australia
2022-06-19,0,11,Australia
2022-06-20,0,11,Australia
2022-06-21,0,11,Australia
2022-06-22,0,11,Australia
2022-06-23,0,11,Australia
2022-06-24,0,11,Australia
2022-06-25,0,11,Australia
2022-06-26,0,11,Australia
2022-06-27,0,11,Australia
2022-06-28,0,11,Australia
2022-06-29,0,11,Australia
2022-06-30,1,12,Australia
2022-07-01,0,12,Australia
2022-07-02,0,12,Australia
2022-07-03,0,12,Australia
2022-07-04,0,12,Australia
2022-07-05,0,12,Australia
2022-07-06,5,17,Australia
2022-07-07,3,20,Australia
2022-07-08,0,20,Australia
2022-07-09,0,20,Australia
2022-07-10,4,24,Australia
2022-07-11,0,24,Australia
2022-07-12,0,24,Australia
2022-05-23,1,1,Austria
2022-05-24,0,1,Austria
2022-05-25,0,1,Austria
2022-05-26,0,1,Austria
2022-05-27,0,1,Austria
2022-05-28,0,1,Austria
2022-05-29,0,1,Austria
2022-05-30,0,1,Austria
2022-05-31,0,1,Austria
2022-06-01,0,1,Austria
2022-06-02,0,1,Austria
2022-06-03,0,1,Austria
2022-06-04,0,1,Austria
2022-06-05,0,1,Austria
2022-06-06,0,1,Austria
2022-06-07,0,1,Austria
2022-06-08,0,1,Austria
2022-06-09,0,1,Austria
2022-06-10,0,1,Austria
2022-06-11,0,1,Austria
2022-06-12,0,1,Austria
2022-06-13,2,3,Austria
2022-06-14,0,3,Austria
2022-06-15,1,4,Austria
2022-06-16,0,4,Austria
2022-06-17,7,11,Austria
2022-06-18,0,11,Austria
2022-06-19,0,11,Austria
2022-06-20,0,11,Austria
2022-06-21,1,12,Austria
2022-06-22,0,12,Austria
2022-06-23,0,12,Austria
2022-06-24,8,20,Austria
2022-06-25,0,20,Austria
2022-06-26,0,20,Austria
2022-06-27,0,20,Austria
2022-06-28,0,20,Austria
2022-06-29,0,20,Austria
2022-06-30,0,20,Austria
2022-07-01,17,37,Austria
2022-07-02,0,37,Austria
2022-07-03,0,37,Austria
2022-07-04,0,37,Austria
2022-07-05,0,37,Austria
2022-07-06,0,37,Austria
2022-07-07,0,37,Austria
2022-07-08,25,62,Austria
2022-07-09,0,62,Austria
2022-07-10,0,62,Austria
2022-07-11,0,62,Austria
2022-07-12,0,62,Austria
2022-05-19,1,1,Belgium
2022-05-20,2,3,Belgium
2022-05-21,1,4,Belgium
2022-05-22,0,4,Belgium
2022-05-23,0,4,Belgium
2022-05-24,0,4,Belgium
2022-05-25,2,6,Belgium
2022-05-26,0,6,Belgium
2022-05-27,0,6,Belgium
2022-05-28,3,9,Belgium
2022-05-29,0,9,Belgium
2022-05-30,0,9,Belgium
2022-05-31,0,9,Belgium
2022-06-01,5,14,Belgium
2022-06-02,0,14,Belgium
2022-06-03,3,17,Belgium
2022-06-04,0,17,Belgium
2022-06-05,0,17,Belgium
2022-06-06,0,17,Belgium
2022-06-07,0,17,Belgium
2022-06-08,8,25,Belgium
2022-06-09,0,25,Belgium
2022-06-10,0,25,Belgium
2022-06-11,0,25,Belgium
2022-06-12,0,25,Belgium
2022-06-13,0,25,Belgium
2022-06-14,0,25,Belgium
2022-06-15,27,52,Belgium
2022-06-16,0,52,Belgium
2022-06-17,10,62,Belgium
2022-06-18,0,62,Belgium
2022-06-19,0,62,Belgium
2022-06-20,0,62,Belgium
2022-06-21,15,77,Belgium
2022-06-22,0,77,Belgium
2022-06-23,0,77,Belgium
2022-06-24,0,77,Belgium
2022-06-25,0,77,Belgium
2022-06-26,0,77,Belgium
2022-06-27,0,77,Belgium
2022-06-28,40,117,Belgium
2022-06-29,0,117,Belgium
2022-06-30,0,117,Belgium
2022-07-01,0,117,Belgium
2022-07-02,0,117,Belgium
2022-07-03,0,117,Belgium
2022-07-04,0,117,Belgium
2022-07-05,51,168,Belgium
2022-07-06,0,168,Belgium
2022-07-07,0,168,Belgium
2022-07-08,0,168,Belgium
2022-07-09,0,168,Belgium
2022-07-10,0,168,Belgium
2022-07-11,0,168,Belgium
