DisplayOrder,COUNTRY,ISO3,WHO_REGION,WHO_REGION_SHORTNAME,CasesAll,CasesLast24Hours,CasesLast7Days,DeathsAll,DeathsLast24Hours,DeathsLast7Days,Latitude,Longitude,MPX_DataAvailable,LASTREPDATE
1,BY WHO Region,,,,68998,0,1057,26,0,1,,,1,
2,WHO African Region,,WHO African Region,AFRO,726,0,12,13,0,0,,,1,
2,WHO Eastern Mediterranean Region,,WHO Eastern Mediterranean Region,EMRO,64,0,10,1,0,0,,,1,
2,WHO European Region,,WHO European Region,EURO,24820,0,142,5,0,0,,,1,
2,WHO Region of the Americas,,WHO Region of the Americas,AMRO,43181,0,890,6,0,1,,,1,
2,WHO South-East Asia Region,,WHO South-East Asia Region,SEARO,23,0,2,1,0,0,,,1,
2,WHO Western Pacific Region,,WHO Western Pacific Region,WPRO,184,0,1,0,0,0,,,1,
3,AFGHANISTAN,AFG,WHO Eastern Mediterranean Region,EMRO,0,0,0,0,0,0,33.83890116,66.02652977,0,
3,ALBANIA,ALB,WHO European Region,EURO,0,0,0,0,0,0,41.14595803,20.06917817,0,
3,ALGERIA,DZA,WHO African Region,AFRO,0,0,0,0,0,0,28.16335741,2.63236595,0,
3,AMERICAN SAMOA,ASM,WHO Western Pacific Region,WPRO,0,0,0,0,0,0,-14.28592649,-170.4018397,0,
3,ANDORRA,AND,WHO European Region,EURO,4,0,0,0,0,0,42.54858297,1.57568833,1,2022-10-04T00:00:00
3,ANGOLA,AGO,WHO African Region,AFRO,0,0,0,0,0,0,-12.29575318,17.54379621,0,
3,ANGUILLA,AIA,WHO Region of the Americas,AMRO,0,0,0,0,0,0,18.22423294,-63.05795609,0,
3,ANTIGUA AND BARBUDA,ATG,WHO Region of the Americas,AMRO,0,0,0,0,0,0,17.280137,-61.79112759,0,
3,ARGENTINA,ARG,WHO Region of the Americas,AMRO,396,0,70,0,0,0,-35.37667253,-65.16748474,1,2022-09-30T00:00:00
3,ARMENIA,ARM,WHO European Region,EURO,0,0,0,0,0,0,40.28641688,44.94793424,0,
3,ARUBA,ABW,WHO Region of the Americas,AMRO,3,0,0,0,0,0,12.51668736,-69.97713313,1,2022-09-13T00:00:00
3,AUSTRALIA,AUS,WHO Western Pacific Region,WPRO,136,0,0,0,0,0,-25.73326023,134.49097595,1,2022-09-27T00:00:00
3,AUSTRIA,AUT,WHO European Region,EURO,314,0,1,0,0,0,47.59295768,14.13998831,1,2022-10-04T00:00:00
3,AZERBAIJAN,AZE,WHO European Region,EURO,0,0,0,0,0,0,40.2922195,47.53232681,0,
3,BAHAMAS,BHS,WHO Region of the Americas,AMRO,2,0,0,0,0,0,24.1666829,-76.5004385,1,2022-08-20T00:00:00
3,BAHRAIN,BHR,WHO Eastern Mediterranean Region,EMRO,1,0,0,0,0,0,26.01947392,50.56248915,1,2022-09-16T00:00:00
3,BANGLADESH,BGD,WHO South-East Asia Region,SEARO,0,0,0,0,0,0,23.8330072,90.27092576,0,
3,BARBADOS,BRB,WHO Region of the Americas,AMRO,1,0,0,0,0,0,13.17879902,-59.56212696,1,2022-07-19T00:00:00
3,BELARUS,BLR,WHO European Region,EURO,0,0,0,0,0,0,53.54021951,28.04696448,0,
3,BELGIUM,BEL,WHO European Region,EURO,775,0,5,1,0,0,50.64295176,4.66434841,1,2022-10-04T00:00:00
3,BELIZE,BLZ,WHO Region of the Americas,AMRO,0,0,0,0,0,0,17.21852829,-88.68278545,0,
3,BENIN,BEN,WHO African Region,AFRO,3,0,0,0,0,0,9.64764997,2.34326271,1,2022-10-04T00:00:00
3,BERMUDA,BMU,WHO Region of the Americas,AMRO,1,0,0,0,0,0,32.31349498,-64.75637722,1,2022-07-23T00:00:00
3,BHUTAN,BTN,WHO South-East Asia Region,SEARO,0,0,0,0,0,0,27.41546082,90.42943275,0,
3,BOLIVIA (PLURINATIONAL STATE OF),BOL,WHO Region of the Americas,AMRO,200,0,15,0,0,0,-16.71510989,-64.67054847,1,2022-10-04T00:00:00
